Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, Apr 25, 2009;4:00p;San Antonio Spurs;90;Dallas Mavericks;99;Box Score;;20,829;
Sat, Apr 25, 2009;6:30p;Atlanta Hawks;78;Miami Heat;107;Box Score;;19,6;
Sat, Apr 25, 2009;9:00p;Los Angeles Lakers;108;Utah Jazz;94;Box Score;;19,911;
Sun, Apr 26, 2009;1:00p;Boston Celtics;118;Chicago Bulls;121;Box Score;2OT;23,067;
Sun, Apr 26, 2009;3:30p;Cleveland Cavaliers;99;Detroit Pistons;78;Box Score;;22,076;
Sun, Apr 26, 2009;6:30p;Orlando Magic;84;Philadelphia 76ers;81;Box Score;;16,464;
Sun, Apr 26, 2009;9:00p;Portland Trail Blazers;88;Houston Rockets;89;Box Score;;18,271;
Mon, Apr 27, 2009;8:00p;Atlanta Hawks;81;Miami Heat;71;Box Score;;19,6;
Mon, Apr 27, 2009;8:30p;Denver Nuggets;121;New Orleans Hornets;63;Box Score;;17,236;
Mon, Apr 27, 2009;10:30p;Utah Jazz;96;Los Angeles Lakers;107;Box Score;;18,997;
Tue, Apr 28, 2009;7:00p;Chicago Bulls;104;Boston Celtics;106;Box Score;OT;18,624;
Tue, Apr 28, 2009;7:30p;Philadelphia 76ers;78;Orlando Magic;91;Box Score;;17,461;
;;;;;;;;;
Tue, Apr 28, 2009;9:30p;Dallas Mavericks;106;San Antonio Spurs;93;Box Score;;18,797;
Tue, Apr 28, 2009;10:00p;Houston Rockets;77;Portland Trail Blazers;88;Box Score;;20,462;
Wed, Apr 29, 2009;8:00p;Miami Heat;91;Atlanta Hawks;106;Box Score;;19,051;
Wed, Apr 29, 2009;10:30p;New Orleans Hornets;86;Denver Nuggets;107;Box Score;;19,744;
Thu, Apr 30, 2009;7:00p;Boston Celtics;127;Chicago Bulls;128;Box Score;3OT;23,43;
Thu, Apr 30, 2009;7:30p;Orlando Magic;114;Philadelphia 76ers;89;Box Score;;16,691;
Thu, Apr 30, 2009;9:30p;Portland Trail Blazers;76;Houston Rockets;92;Box Score;;18,376;
Fri, May 1, 2009;8:00p;Atlanta Hawks;72;Miami Heat;98;Box Score;;19,6;
Sat, May 2, 2009;8:00p;Chicago Bulls;99;Boston Celtics;109;Box Score;;18,624;
Sun, May 3, 2009;1:00p;Miami Heat;78;Atlanta Hawks;91;Box Score;;18,864;
Sun, May 3, 2009;3:30p;Dallas Mavericks;95;Denver Nuggets;109;Box Score;;19,631;
Mon, May 4, 2009;8:00p;Orlando Magic;95;Boston Celtics;90;Box Score;;18,624;
Mon, May 4, 2009;10:30p;Houston Rockets;100;Los Angeles Lakers;92;Box Score;;18,997;
Tue, May 5, 2009;8:00p;Atlanta Hawks;72;Cleveland Cavaliers;99;Box Score;;20,562;
Tue, May 5, 2009;10:30p;Dallas Mavericks;105;Denver Nuggets;117;Box Score;;19,89;
Wed, May 6, 2009;8:00p;Orlando Magic;94;Boston Celtics;112;Box Score;;18,624;
Wed, May 6, 2009;10:30p;Houston Rockets;98;Los Angeles Lakers;111;Box Score;;18,997;
Thu, May 7, 2009;8:00p;Atlanta Hawks;85;Cleveland Cavaliers;105;Box Score;;20,562;
Fri, May 8, 2009;7:00p;Boston Celtics;96;Orlando Magic;117;Box Score;;17,461;
Fri, May 8, 2009;9:30p;Los Angeles Lakers;108;Houston Rockets;94;Box Score;;18,495;
Sat, May 9, 2009;5:00p;Denver Nuggets;106;Dallas Mavericks;105;Box Score;;20,62;
Sat, May 9, 2009;8:00p;Cleveland Cavaliers;97;Atlanta Hawks;82;Box Score;;20,143;
Sun, May 10, 2009;3:30p;Los Angeles Lakers;87;Houston Rockets;99;Box Score;;18,313;
Sun, May 10, 2009;8:00p;Boston Celtics;95;Orlando Magic;94;Box Score;;17,461;
Mon, May 11, 2009;7:00p;Cleveland Cavaliers;84;Atlanta Hawks;74;Box Score;;19,241;
Mon, May 11, 2009;9:30p;Denver Nuggets;117;Dallas Mavericks;119;Box Score;;20,523;
Tue, May 12, 2009;8:00p;Orlando Magic;88;Boston Celtics;92;Box Score;;18,624;
Tue, May 12, 2009;10:30p;Houston Rockets;78;Los Angeles Lakers;118;Box Score;;18,997;
Wed, May 13, 2009;9:00p;Dallas Mavericks;110;Denver Nuggets;124;Box Score;;19,962;
Thu, May 14, 2009;7:00p;Boston Celtics;75;Orlando Magic;83;Box Score;;17,461;
Thu, May 14, 2009;9:30p;Los Angeles Lakers;80;Houston Rockets;95;Box Score;;18,501;
Sun, May 17, 2009;3:30p;Houston Rockets;70;Los Angeles Lakers;89;Box Score;;18,997;
Sun, May 17, 2009;8:00p;Orlando Magic;101;Boston Celtics;82;Box Score;;18,624;
Tue, May 19, 2009;9:00p;Denver Nuggets;103;Los Angeles Lakers;105;Box Score;;18,997;
Wed, May 20, 2009;8:30p;Orlando Magic;107;Cleveland Cavaliers;106;Box Score;;20,562;
;;;;;;;;;
Thu, May 21, 2009;9:00p;Denver Nuggets;106;Los Angeles Lakers;103;Box Score;;18,997;
Fri, May 22, 2009;8:30p;Orlando Magic;95;Cleveland Cavaliers;96;Box Score;;20,562;
Sat, May 23, 2009;8:30p;Los Angeles Lakers;103;Denver Nuggets;97;Box Score;;19,939;
Sun, May 24, 2009;8:30p;Cleveland Cavaliers;89;Orlando Magic;99;Box Score;;17,461;
Mon, May 25, 2009;9:00p;Los Angeles Lakers;101;Denver Nuggets;120;Box Score;;20,037;
Tue, May 26, 2009;8:30p;Cleveland Cavaliers;114;Orlando Magic;116;Box Score;OT;17,461;
Wed, May 27, 2009;9:00p;Denver Nuggets;94;Los Angeles Lakers;103;Box Score;;18,997;
Thu, May 28, 2009;8:30p;Orlando Magic;102;Cleveland Cavaliers;112;Box Score;;20,562;
Fri, May 29, 2009;9:00p;Los Angeles Lakers;119;Denver Nuggets;92;Box Score;;20,053;
Sat, May 30, 2009;8:30p;Cleveland Cavaliers;90;Orlando Magic;103;Box Score;;17,461;
Thu, Jun 4, 2009;9:00p;Orlando Magic;75;Los Angeles Lakers;100;Box Score;;18,997;
Sun, Jun 7, 2009;8:00p;Orlando Magic;96;Los Angeles Lakers;101;Box Score;OT;18,997;
Tue, Jun 9, 2009;9:00p;Los Angeles Lakers;104;Orlando Magic;108;Box Score;;17,461;
Thu, Jun 11, 2009;9:00p;Los Angeles Lakers;99;Orlando Magic;91;Box Score;OT;17,461;
