Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Tue, Oct 22, 2019,8:00p,,Box Score,@,Toronto Raptors,L,OT,122,130,0,1,L 1,
Fri, Oct 25, 2019,8:00p,,Box Score,,Dallas Mavericks,L,,116,123,0,2,L 2,
Sat, Oct 26, 2019,8:00p,,Box Score,@,Houston Rockets,L,,123,126,0,3,L 3,
Mon, Oct 28, 2019,8:00p,,Box Score,,Golden State Warriors,L,,123,134,0,4,L 4,
Thu, Oct 31, 2019,9:30p,,Box Score,,Denver Nuggets,W,,122,107,1,4,W 1,
Sat, Nov 2, 2019,5:00p,,Box Score,@,Oklahoma City Thunder,L,,104,115,1,5,L 1,
Mon, Nov 4, 2019,7:30p,,Box Score,@,Brooklyn Nets,L,,125,135,1,6,L 2,
Fri, Nov 8, 2019,8:00p,,Box Score,,Toronto Raptors,L,,104,122,1,7,L 3,
Sat, Nov 9, 2019,7:00p,,Box Score,@,Charlotte Hornets,W,,115,110,2,7,W 1,
Mon, Nov 11, 2019,8:00p,,Box Score,,Houston Rockets,L,,116,122,2,8,L 1,
Thu, Nov 14, 2019,8:00p,,Box Score,,Los Angeles Clippers,W,,132,127,3,8,W 1,
Sat, Nov 16, 2019,8:00p,,Box Score,@,Miami Heat,L,,94,109,3,9,L 1,
Sun, Nov 17, 2019,7:00p,,Box Score,,Golden State Warriors,W,,108,100,4,9,W 1,
Tue, Nov 19, 2019,8:00p,,Box Score,,Portland Trail Blazers,W,,115,104,5,9,W 2,
Thu, Nov 21, 2019,10:30p,,Box Score,@,Phoenix Suns,W,,124,121,6,9,W 3,
Sat, Nov 23, 2019,9:00p,,Box Score,@,Utah Jazz,L,,120,128,6,10,L 1,
Sun, Nov 24, 2019,9:00p,,Box Score,@,Los Angeles Clippers,L,,109,134,6,11,L 2,
Wed, Nov 27, 2019,9:30p,,Box Score,,Los Angeles Lakers,L,,110,114,6,12,L 3,
Fri, Nov 29, 2019,8:00p,,Box Score,@,Oklahoma City Thunder,L,,104,109,6,13,L 4,
Sun, Dec 1, 2019,5:00p,,Box Score,,Oklahoma City Thunder,L,,104,107,6,14,L 5,
,,,,,,,,,,,,,
Tue, Dec 3, 2019,7:30p,,Box Score,,Dallas Mavericks,L,,97,118,6,15,L 6,
Thu, Dec 5, 2019,8:00p,,Box Score,,Phoenix Suns,L,OT,132,139,6,16,L 7,
Sat, Dec 7, 2019,2:00p,,Box Score,@,Dallas Mavericks,L,,84,130,6,17,L 8,
Mon, Dec 9, 2019,8:00p,,Box Score,,Detroit Pistons,L,,103,105,6,18,L 9,
Wed, Dec 11, 2019,9:30p,,Box Score,@,Milwaukee Bucks,L,,112,127,6,19,L 10,
Fri, Dec 13, 2019,7:00p,,Box Score,@,Philadelphia 76ers,L,,109,116,6,20,L 11,
Sun, Dec 15, 2019,3:30p,,Box Score,,Orlando Magic,L,,119,130,6,21,L 12,
Tue, Dec 17, 2019,8:00p,,Box Score,,Brooklyn Nets,L,OT,101,108,6,22,L 13,
Wed, Dec 18, 2019,8:00p,,Box Score,@,Minnesota Timberwolves,W,,107,99,7,22,W 1,
Fri, Dec 20, 2019,10:30p,,Box Score,@,Golden State Warriors,L,,102,106,7,23,L 1,
Mon, Dec 23, 2019,10:00p,,Box Score,@,Portland Trail Blazers,W,,102,94,8,23,W 1,
Wed, Dec 25, 2019,10:30p,,Box Score,@,Denver Nuggets,W,,112,100,9,23,W 2,
Sat, Dec 28, 2019,7:00p,,Box Score,,Indiana Pacers,W,,120,98,10,23,W 3,
Sun, Dec 29, 2019,8:00p,,Box Score,,Houston Rockets,W,,127,112,11,23,W 4,
Fri, Jan 3, 2020,10:30p,,Box Score,@,Los Angeles Lakers,L,,113,123,11,24,L 1,
Sat, Jan 4, 2020,10:00p,,Box Score,@,Sacramento Kings,W,,117,115,12,24,W 1,
Mon, Jan 6, 2020,8:00p,,Box Score,,Utah Jazz,L,,126,128,12,25,L 1,
Wed, Jan 8, 2020,8:00p,,Box Score,,Chicago Bulls,W,,123,108,13,25,W 1,
Fri, Jan 10, 2020,7:15p,,Box Score,@,New York Knicks,W,,123,111,14,25,W 2,
Sat, Jan 11, 2020,7:00p,,Box Score,@,Boston Celtics,L,,105,140,14,26,L 1,
,,,,,,,,,,,,,
Mon, Jan 13, 2020,7:00p,,Box Score,@,Detroit Pistons,W,OT,117,110,15,26,W 1,
Thu, Jan 16, 2020,8:00p,,Box Score,,Utah Jazz,W,OT,138,132,16,26,W 2,
Sat, Jan 18, 2020,3:30p,,Box Score,,Los Angeles Clippers,L,,130,133,16,27,L 1,
Mon, Jan 20, 2020,5:00p,,Box Score,@,Memphis Grizzlies,W,,126,116,17,27,W 1,
Wed, Jan 22, 2020,9:30p,,Box Score,,San Antonio Spurs,L,,117,121,17,28,L 1,
Fri, Jan 24, 2020,8:00p,,Box Score,,Denver Nuggets,L,,106,113,17,29,L 2,
Sun, Jan 26, 2020,6:00p,,Box Score,,Boston Celtics,W,,123,108,18,29,W 1,
Tue, Jan 28, 2020,7:30p,,Box Score,@,Cleveland Cavaliers,W,,125,111,19,29,W 2,
Fri, Jan 31, 2020,8:00p,,Box Score,,Memphis Grizzlies,W,,139,111,20,29,W 3,
