Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 31, 2007,10:30p,,Box Score,@,Denver Nuggets,L,,103,120,0,1,L 1,
Thu, Nov 1, 2007,10:30p,,Box Score,,Phoenix Suns,L,,99,106,0,2,L 2,
Sun, Nov 4, 2007,3:30p,,Box Score,@,Los Angeles Clippers,L,,101,115,0,3,L 3,
Tue, Nov 6, 2007,10:00p,,Box Score,@,Sacramento Kings,L,,98,104,0,4,L 4,
Wed, Nov 7, 2007,10:00p,,Box Score,,Memphis Grizzlies,L,,98,105,0,5,L 5,
Fri, Nov 9, 2007,10:30p,,Box Score,,Utah Jazz,L,,101,103,0,6,L 6,
Sun, Nov 11, 2007,9:00p,,Box Score,,Detroit Pistons,L,,103,107,0,7,L 7,
Tue, Nov 13, 2007,7:00p,,Box Score,@,Orlando Magic,L,,76,103,0,8,L 8,
Wed, Nov 14, 2007,7:30p,,Box Score,@,Miami Heat,W,,104,95,1,8,W 1,
Fri, Nov 16, 2007,7:30p,,Box Score,@,Atlanta Hawks,W,2OT,126,123,2,8,W 2,
Sat, Nov 17, 2007,7:00p,,Box Score,@,Charlotte Bobcats,L,,84,100,2,9,L 1,
Mon, Nov 19, 2007,8:00p,,Box Score,@,Memphis Grizzlies,L,,108,125,2,10,L 2,
Fri, Nov 23, 2007,10:30p,,Box Score,,New Jersey Nets,L,,93,98,2,11,L 3,
Sun, Nov 25, 2007,9:00p,,Box Score,,San Antonio Spurs,L,,101,116,2,12,L 4,
Tue, Nov 27, 2007,10:30p,,Box Score,@,Los Angeles Lakers,L,,99,106,2,13,L 5,
Wed, Nov 28, 2007,10:00p,,Box Score,,Orlando Magic,L,,94,110,2,14,L 6,
Fri, Nov 30, 2007,10:30p,,Box Score,,Indiana Pacers,W,,95,93,3,14,W 1,
Sun, Dec 2, 2007,9:00p,,Box Score,,Golden State Warriors,L,,96,109,3,15,L 1,
Wed, Dec 5, 2007,10:30p,,Box Score,,Los Angeles Clippers,W,,95,88,4,15,W 1,
Fri, Dec 7, 2007,10:30p,,Box Score,,Milwaukee Bucks,W,,104,98,5,15,W 2,
,,,,,,,,,,,,,
Sun, Dec 9, 2007,7:00p,,Box Score,@,New Orleans Hornets,L,,88,91,5,16,L 1,
Tue, Dec 11, 2007,8:30p,,Box Score,@,Chicago Bulls,L,,96,123,5,17,L 2,
