Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 29, 2008,6:00p,,Box Score,,Toronto Raptors,L,,84,95,0,1,L 1,
Fri, Oct 31, 2008,7:00p,,Box Score,,New York Knicks,W,,116,87,1,1,W 1,
Sat, Nov 1, 2008,7:00p,,Box Score,@,Atlanta Hawks,L,,88,95,1,2,L 1,
Mon, Nov 3, 2008,7:00p,,Box Score,,Sacramento Kings,W,,125,91,2,2,W 1,
Wed, Nov 5, 2008,7:30p,,Box Score,@,Miami Heat,L,,83,106,2,3,L 1,
Thu, Nov 6, 2008,8:00p,,Box Score,@,Orlando Magic,L,,88,98,2,4,L 2,
Tue, Nov 11, 2008,7:00p,,Box Score,,Utah Jazz,L,,80,93,2,5,L 3,
Wed, Nov 12, 2008,7:00p,,Box Score,@,Toronto Raptors,W,,106,96,3,5,W 1,
Fri, Nov 14, 2008,7:00p,,Box Score,@,Indiana Pacers,W,,94,92,4,5,W 2,
Sat, Nov 15, 2008,7:00p,,Box Score,,Oklahoma City Thunder,W,,110,85,5,5,W 3,
Wed, Nov 19, 2008,8:00p,,Box Score,@,Minnesota Timberwolves,L,,96,102,5,6,L 1,
Fri, Nov 21, 2008,7:00p,,Box Score,,Los Angeles Clippers,W,,89,88,6,6,W 1,
Sun, Nov 23, 2008,5:00p,,Box Score,,Golden State Warriors,W,,89,81,7,6,W 2,
Mon, Nov 24, 2008,7:00p,,Box Score,@,Charlotte Bobcats,L,,84,93,7,7,L 1,
Wed, Nov 26, 2008,7:30p,,Box Score,,Orlando Magic,L,,94,96,7,8,L 2,
Fri, Nov 28, 2008,7:30p,,Box Score,@,Boston Celtics,L,,78,102,7,9,L 3,
Sun, Nov 30, 2008,5:00p,,Box Score,,Chicago Bulls,L,,92,103,7,10,L 4,
Tue, Dec 2, 2008,8:30p,,Box Score,@,Chicago Bulls,W,OT,103,95,8,10,W 1,
Wed, Dec 3, 2008,7:00p,,Box Score,,Los Angeles Lakers,L,,102,114,8,11,L 1,
Fri, Dec 5, 2008,8:00p,,Box Score,@,Detroit Pistons,W,,96,91,9,11,W 1,
,,,,,,,,,,,,,
Sat, Dec 6, 2008,7:30p,,Box Score,,New Jersey Nets,L,,84,95,9,12,L 1,
