Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Tue, Oct 30, 2007,10:30p,,Box Score,@,Golden State Warriors,W,,117,96,1,0,W 1,
Thu, Nov 1, 2007,9:00p,,Box Score,,Houston Rockets,L,,95,106,1,1,L 1,
Sat, Nov 3, 2007,9:00p,,Box Score,,Golden State Warriors,W,,133,110,2,1,W 1,
Sun, Nov 4, 2007,9:30p,,Box Score,@,Los Angeles Lakers,L,,109,119,2,2,L 1,
Wed, Nov 7, 2007,10:30p,,Box Score,,Cleveland Cavaliers,W,,103,101,3,2,W 1,
Fri, Nov 9, 2007,10:30p,,Box Score,@,Seattle SuperSonics,W,,103,101,4,2,W 2,
Sat, Nov 10, 2007,9:00p,,Box Score,,Memphis Grizzlies,W,,118,94,5,2,W 3,
Mon, Nov 12, 2007,9:00p,,Box Score,,Sacramento Kings,W,,117,93,6,2,W 4,
Wed, Nov 14, 2007,7:00p,,Box Score,@,Toronto Raptors,W,,92,88,7,2,W 5,
Fri, Nov 16, 2007,7:30p,,Box Score,@,Cleveland Cavaliers,L,,94,99,7,3,L 1,
Sat, Nov 17, 2007,7:00p,,Box Score,@,Indiana Pacers,L,,97,117,7,4,L 2,
Mon, Nov 19, 2007,9:00p,,Box Score,,New Jersey Nets,W,,102,75,8,4,W 1,
Fri, Nov 23, 2007,9:00p,,Box Score,,New Orleans Hornets,W,,99,71,9,4,W 2,
Sun, Nov 25, 2007,1:00p,,Box Score,@,Detroit Pistons,W,,103,93,10,4,W 3,
Mon, Nov 26, 2007,7:30p,,Box Score,@,New York Knicks,L,,109,113,10,5,L 1,
Wed, Nov 28, 2007,7:00p,,Box Score,@,Philadelphia 76ers,W,,106,95,11,5,W 1,
Fri, Nov 30, 2007,10:30p,,Box Score,,Los Angeles Lakers,W,,120,96,12,5,W 2,
Mon, Dec 3, 2007,9:00p,,Box Score,,Miami Heat,W,,110,101,13,5,W 3,
Tue, Dec 4, 2007,10:00p,,Box Score,@,Sacramento Kings,L,,107,117,13,6,L 1,
