Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 28, 2015,8:00p,,Box Score,@,Houston Rockets,W,,105,85,1,0,W 1,
Fri, Oct 30, 2015,9:00p,,Box Score,,Minnesota Timberwolves,L,,78,95,1,1,L 1,
Sun, Nov 1, 2015,7:00p,,Box Score,@,Oklahoma City Thunder,L,,93,117,1,2,L 2,
Tue, Nov 3, 2015,10:30p,,Box Score,@,Los Angeles Lakers,W,,120,109,2,2,W 1,
Thu, Nov 5, 2015,9:00p,,Box Score,,Utah Jazz,L,,84,96,2,3,L 1,
Fri, Nov 6, 2015,10:30p,,Box Score,@,Golden State Warriors,L,,104,119,2,4,L 2,
Mon, Nov 9, 2015,9:00p,,Box Score,,Portland Trail Blazers,W,,108,104,3,4,W 1,
Wed, Nov 11, 2015,9:00p,,Box Score,,Milwaukee Bucks,W,,103,102,4,4,W 2,
Fri, Nov 13, 2015,9:00p,,Box Score,,Houston Rockets,W,,107,98,5,4,W 3,
Sat, Nov 14, 2015,9:00p,,Box Score,@,Phoenix Suns,L,,81,105,5,5,L 1,
Tue, Nov 17, 2015,8:00p,,Box Score,@,New Orleans Pelicans,W,,115,98,6,5,W 1,
Wed, Nov 18, 2015,8:30p,,Box Score,@,San Antonio Spurs,L,,98,109,6,6,L 1,
Fri, Nov 20, 2015,9:00p,,Box Score,,Phoenix Suns,L,,107,114,6,7,L 2,
Sun, Nov 22, 2015,8:00p,,Box Score,,Golden State Warriors,L,,105,118,6,8,L 3,
Tue, Nov 24, 2015,9:00p,,Box Score,,Los Angeles Clippers,L,,94,111,6,9,L 4,
Fri, Nov 27, 2015,9:00p,,Box Score,,San Antonio Spurs,L,,80,91,6,10,L 5,
Sat, Nov 28, 2015,8:30p,,Box Score,@,Dallas Mavericks,L,,81,92,6,11,L 6,
Mon, Nov 30, 2015,8:00p,,Box Score,@,Milwaukee Bucks,L,,74,92,6,12,L 7,
Wed, Dec 2, 2015,8:00p,,Box Score,@,Chicago Bulls,L,,90,99,6,13,L 8,
Thu, Dec 3, 2015,7:30p,,Box Score,@,Toronto Raptors,W,,106,105,7,13,W 1,
,,,,,,,,,,,,,
Sat, Dec 5, 2015,1:00p,,Box Score,@,Philadelphia 76ers,W,,108,105,8,13,W 2,
Tue, Dec 8, 2015,9:00p,,Box Score,,Orlando Magic,L,,74,85,8,14,L 1,
Fri, Dec 11, 2015,9:00p,,Box Score,,Minnesota Timberwolves,W,OT,111,108,9,14,W 1,
Mon, Dec 14, 2015,9:00p,,Box Score,,Houston Rockets,W,,114,108,10,14,W 2,
Tue, Dec 15, 2015,8:00p,,Box Score,@,Minnesota Timberwolves,W,,112,100,11,14,W 3,
Fri, Dec 18, 2015,9:00p,,Box Score,@,Utah Jazz,L,,88,97,11,15,L 1,
Sun, Dec 20, 2015,8:00p,,Box Score,,New Orleans Pelicans,L,,125,130,11,16,L 2,
Tue, Dec 22, 2015,9:00p,,Box Score,,Los Angeles Lakers,L,,107,111,11,17,L 3,
Wed, Dec 23, 2015,9:00p,,Box Score,@,Phoenix Suns,W,,104,96,12,17,W 1,
Sat, Dec 26, 2015,8:30p,,Box Score,@,San Antonio Spurs,L,,86,101,12,18,L 1,
Sun, Dec 27, 2015,7:00p,,Box Score,@,Oklahoma City Thunder,L,,112,122,12,19,L 2,
Tue, Dec 29, 2015,9:00p,,Box Score,,Cleveland Cavaliers,L,,87,93,12,20,L 3,
Wed, Dec 30, 2015,10:00p,,Box Score,@,Portland Trail Blazers,L,,103,110,12,21,L 4,
Sat, Jan 2, 2016,10:30p,,Box Score,@,Golden State Warriors,L,OT,108,111,12,22,L 5,
Sun, Jan 3, 2016,9:00p,,Box Score,,Portland Trail Blazers,L,,106,112,12,23,L 6,
Wed, Jan 6, 2016,8:00p,,Box Score,@,Minnesota Timberwolves,W,,78,74,13,23,W 1,
Fri, Jan 8, 2016,8:00p,,Box Score,@,Memphis Grizzlies,L,,84,91,13,24,L 1,
Sun, Jan 10, 2016,8:00p,,Box Score,,Charlotte Hornets,W,,95,92,14,24,W 1,
Wed, Jan 13, 2016,9:00p,,Box Score,,Golden State Warriors,W,,112,110,15,24,W 2,
Fri, Jan 15, 2016,9:00p,,Box Score,,Miami Heat,L,,95,98,15,25,L 1,
,,,,,,,,,,,,,
Sun, Jan 17, 2016,8:00p,,Box Score,,Indiana Pacers,W,,129,126,16,25,W 1,
Tue, Jan 19, 2016,9:00p,,Box Score,,Oklahoma City Thunder,L,,104,110,16,26,L 1,
Thu, Jan 21, 2016,9:00p,,Box Score,,Memphis Grizzlies,L,,101,102,16,27,L 2,
Sat, Jan 23, 2016,9:30p,,Box Score,,Detroit Pistons,W,,104,101,17,27,W 1,
Mon, Jan 25, 2016,9:00p,,Box Score,,Atlanta Hawks,L,,105,119,17,28,L 1,
Wed, Jan 27, 2016,7:30p,,Box Score,@,Boston Celtics,L,,103,111,17,29,L 2,
Thu, Jan 28, 2016,7:00p,,Box Score,@,Washington Wizards,W,,117,113,18,29,W 1,
Sat, Jan 30, 2016,7:00p,,Box Score,@,Indiana Pacers,L,OT,105,109,18,30,L 1,
Mon, Feb 1, 2016,9:00p,,Box Score,,Toronto Raptors,W,,112,93,19,30,W 1,
Wed, Feb 3, 2016,9:00p,,Box Score,@,Utah Jazz,L,,81,85,19,31,L 1,
Fri, Feb 5, 2016,9:00p,,Box Score,,Chicago Bulls,W,,115,110,20,31,W 1,
